lokacija,sobno,nadstropje,leto,velikost,cena
DRAGONJA,4-sobno,1,1993,"206,60 ","418.000,00"
GAŽON,4-sobno,P,1997,"80,00 ","192.000,00"
HRPELJE,1-sobno,4,1981,"45,80 ","104.000,00"
HRPELJE,"2,5-sobno",P,2011,"59,60 ","179.000,00"
"HRPELJE, KOZINA",3-sobno,3,1982,"76,10 ","233.000,00"
"HRVATINI, POGLED NA MORJE","4,5-sobno",2,1920,"179,70 ","350.000,00"
IZOLA,2-sobno,1,2022,"42,18 ","181.000,00 &euro;<span class=""cena-old"">199.122,00"
IZOLA,2-sobno,2,1980,"69,00 ","310.000,00"
IZOLA,2-sobno,M,2022,"69,73 ","269.000,00 &euro;<span class=""cena-old"">296.722,00"
IZOLA,2-sobno,2,2022,"77,09 ","350.000,00 &euro;<span class=""cena-old"">383.250,00"
IZOLA,"2,5-sobno",2,1989,"79,90 ","199.000,00"
IZOLA,3-sobno,P,2022,"82,37 ","298.000,00 &euro;<span class=""cena-old"">377.905,00"
IZOLA,"3,5-sobno",P,2007,"87,80 ","345.000,00"
IZOLA,2-sobno,1,2022,"104,43 ","362.000,00 &euro;<span class=""cena-old"">391.433,00"
IZOLA,4-sobno,P,2021,"112,00 ","477.000,00"
IZOLA,4-sobno,2,1999,"150,00 ","600.000,00"
IZOLA,5 in večsobno,2,2009,"154,00 ","600.000,00"
IZOLA,Drugo,2,2009,"154,80 ","597.000,00"
IZOLA,Drugo,3,2008,"154,80 ","597.000,00"
IZOLA,5 in večsobno,2,2008,"154,80 ","600.000,00"
IZOLA,5 in večsobno,2,2008,"154,80 ","597.000,00"
IZOLA,5 in večsobno,P,1977,"160,70 ","550.000,00"
IZOLA,5 in večsobno,1,2014,"206,50 ","620.000,00"
"IZOLA, 100M DO PLAŽE SVETILNIK",4-sobno,1,1789,"62,60 ","220.000,00"
"IZOLA, 3S+MANSARDA",4-sobno,2,1900,"73,00 ","220.000,00"
"IZOLA, CENTER",4-sobno,2,1900,"134,00 ","220.000,00"
"IZOLA, LIVADE",2-sobno,2,2016,"86,00 ","310.000,00"
"IZOLA, LIVADE",5 in večsobno,1,2014,"206,50 ","620.000,00 &euro;<span class=""cena-old"">660.000,00"
"IZOLA, ODLIČNA LOKACIJA. IZJEMNA PRILOŽNOST INVESTICIJE V ST...","4,5-sobno",P,1969,"90,90 ","259.000,00"
JAGODJE,4-sobno,VP,1985,"104,60 ","352.000,00"
"JAGODJE, IZOLA",4-sobno,P,1977,"160,70 ","550.000,00"
KOLOMBAN,"4,5-sobno",1,1993,"181,00 ","400.000,00"
"KOLOMBAN, ODPRT POGLED NA MORJE","4,5-sobno",1,1993,"181,90 ","400.000,00"
KOMEN,"4,5-sobno",VP,1912,"130,90 ","114.000,00"
KOMEN,3-sobno,1,1912,"132,10 ","102.000,00"
KOPER,2-sobno,M,2009,"34,41 ","160.000,00"
KOPER,"2,5-sobno",5,1974,"52,00 ","260.000,00"
KOPER,3-sobno,2,1970,"58,80 ","217.000,00"
KOPER,2-sobno,8,2020,"60,20 ","250.000,00"
KOPER,2-sobno,8,1975,"60,20 ","249.900,00"
KOPER,2-sobno,3,2011,"71,30 ","440.000,00"
KOPER,4-sobno,2,1860,"71,90 ","184.000,00"
KOPER,4-sobno,P,1979,"76,60 ","245.000,00"
KOPER,4-sobno,1,1982,"78,00 ","255.000,00"
KOPER,3-sobno,1,1650,"78,10 ","360.000,00"
KOPER,3-sobno,2,1982,"78,90 ","275.000,00"
KOPER,4-sobno,1,1972,"81,10 ","235.000,00"
KOPER,2-sobno,2,2004,"81,30 ","234.000,00"
KOPER,3-sobno,4,2007,"87,20 ","359.000,00 &euro;<span class=""cena-old"">369.000,00"
KOPER,4-sobno,1,1870,"100,50 ","349.000,00"
KOPER,"3,5-sobno",P,1991,"102,50 ","325.000,00"
KOPER,3-sobno,2,2005,"105,00 ","323.000,00"
KOPER,2-sobno,3,2011,"106,00 ","440.000,00"
KOPER,2-sobno,3,2011,"106,40 ","440.000,00"
KOPER,2-sobno,3,2011,"106,40 ","440.000,00"
KOPER,4-sobno,1,1900,"126,00 ","349.000,00"
KOPER,4-sobno,1,1900,"126,00 ","349.000,00"
KOPER,4-sobno,5,1981,"131,00 ","397.000,00"
"KOPER, BERNETIČEVA ULICA",2-sobno,P,1987,"58,60 ","197.000,00"
"KOPER, CENTER - BLIŽINA TRGA BROLO",4-sobno,1,1870,"126,40 ","349.000,00"
"KOPER, CENTER KOPRA",2-sobno,2,1900,"54,80 ","168.500,00"
"KOPER, KOLOMBAN","4,5-sobno",1,1993,"160,00 ","400.000,00 &euro;<span class=""cena-old"">450.000,00"
"KOPER, MARKOVEC",4-sobno,VP,2018,"81,00 ","290.000,00"
"KOPER, MARKOVEC, ODPRT POGLED NA MORJE","3,5-sobno",VP,1980,"79,40 ","290.000,00"
