lokacija,sobno,nadstropje,leto,velikost,cena
HRAŠE,3-sobno,2,1964,"49,30 ","141.000,00"
"IG, SULČJA ULICA",4-sobno,1,2004,"102,00 ","160.000,00"
IHAN,"3,5-sobno",P,1989,"83,00 ","149.990,00"
IVANČNA GORICA,2-sobno,2,2008,"45,00 ","139.000,00 &euro;<span class=""cena-old"">143.000,00"
IVANČNA GORICA,2-sobno,2,2005,"45,80 ","146.000,00"
IVANČNA GORICA,4-sobno,4,2008,"81,00 ","220.000,00"
IVANČNA GORICA,3-sobno,P,2022,"82,60 ","229.000,00"
IVANČNA GORICA,4-sobno,M,2022,"92,40 ","225.000,00"
IVANČNA GORICA,Drugo,M,2009,"132,00 ","258.000,00"
KAMNIK,"1,5-sobno",2,2004,"34,00 ","139.000,00"
KAMNIK,"2,5-sobno",P,1960,"50,00 ","178.000,00"
KAMNIK,2-sobno,2,1998,"55,00 ","95.000,00"
KAMNIK,3-sobno,4,1969,"68,12 ","160.000,00"
KAMNIK,"2,5-sobno",2,1949,"77,20 ","154.900,00"
KAMNIK,"3,5-sobno",2,1981,"94,20 ","199.000,00"
KAMNIK,4-sobno,2,2006,"110,00 ","400.000,00"
KAMNIK,3-sobno,3,2003,"122,00 ","285.000,00"
KAMNIK POD KRIMOM,2-sobno,1,1974,"68,00 ","99.000,00"
"KAMNIK, CENTER","2,5-sobno",2,1949,"77,20 ","144.990,00"
"KAMNIK, CENTER","3,5-sobno",3,2003,"128,00 ","285.000,00"
"KOMENDA, KLANEC",3-sobno,P,1962,"65,00 ","159.000,00"
"KOMENDA, KLANEC",5 in večsobno,2,1962,"97,40 ","179.000,00"
KOŠIŠE,3-sobno,1,1947,"102,00 ","165.000,00"
LAVRICA,"2,5-sobno",1,2009,"64,00 ","269.000,00"
LITIJA,1-sobno,1,1960,"39,49 ","85.000,00"
LITIJA,2-sobno,1,1926,"65,80 ","155.000,00"
"LITIJA, SLOVENIJA","2,5-sobno",1,1968,"64,00 ","127.000,00"
"LITIJA, TRG NA STAVBAH","2,5-sobno",VP,1936,"57,80 ","129.000,00"
"LITIJA, TRG NA STAVBAH",2-sobno,1,1957,"60,70 ","99.000,00 &euro;<span class=""cena-old"">109.000,00"
LOG PRI BREZOVICI,4-sobno,2,2006,"100,00 ","219.000,00 &euro;<span class=""cena-old"">229.000,00"
LOGATEC,5 in večsobno,2,2013,"145,30 ","210.000,00"
"LOGATEC, CENTER","2,5-sobno",1,2004,"53,00 ","139.000,00"
"LOGATEC, CENTER",3-sobno,2,1975,"78,70 ","162.000,00"
"LOGATEC, CENTER",4-sobno,1,2021,"107,10 ","270.000,00"
"LOGATEC, SONČNI LOG",2-sobno,P,2005,"61,00 ","195.000,00"
MALA KOSTREVNICA,"1,5-sobno",VP,1917,"34,60 ","78.000,00"
MALA LOKA,3-sobno,1,2003,"82,10 ","219.000,00"
MEDVODE,3-sobno,VP,2019,"156,70 ","558.831,00"
MEDVODE,3-sobno,VP,2019,"164,30 ","583.648,00"
"MEDVODE, CESTA KOMANDANTA STANETA",2-sobno,1,1907,"106,00 ","169.000,00"
"MEDVODE, KLANSKA ULICA",1-sobno,1,1989,"38,10 ","130.000,00"
"MEDVODE, OKOLICA",3-sobno,1,2021,"94,70 ","199.000,00"
"MEDVODE, PRESKA",3-sobno,2,2019,"331,70 ","1.096.443,00"
MENGEŠ,Garsonjera,2,2010,"33,00 ","135.000,00"
MENGEŠ,3-sobno,5,1986,"57,10 ","180.000,00"
MENGEŠ,4-sobno,3,2010,"81,70 ","324.000,00"
MENGEŠ,2-sobno,P+1+M,1979,"108,60 ","176.000,00"
MENGEŠ,3-sobno,P,1930,"154,80 ","120.000,00 &euro;<span class=""cena-old"">140.000,00"
MENGEŠ,4-sobno,1,2018,"168,00 ","292.000,00"
NOTRANJE GORICE,3-sobno,VP,1980,"110,00 ","195.000,00"
NOTRANJE GORICE,4-sobno,1,1997,"131,14 ","235.000,00"
NOTRANJE GORICE,5 in večsobno,P,1997,"195,77 ","315.000,00"
"LAVRICA, NASELJE OB POTOKU",4-sobno,P,2009,"91,40 ","379.000,00"
MENGEŠ,3-sobno,3,2010,"81,70 ","324.000,00"
ZGORNJE JARŠE,"4,5-sobno",P,1959,"201,60 ","295.000,00"
BLATNA BREZOVICA,3-sobno,P,1966,"117,30 ","150.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,1,2022,"75,70 ","280.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,2,2022,"75,70 ","280.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,P,2022,"75,70 ","293.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,P,2006,"129,30 ","319.000,00"
BREZJE PRI GROSUPLJEM,Apartma,1,2002,"136,00 ","129.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,P,2006,"153,30 ","279.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,P,2006,"206,30 ","310.000,00"
BREZJE PRI GROSUPLJEM,5 in večsobno,2,2007,"215,30 ","575.000,00"
"BREZOVICA PRI LJUBLJANI, 1000 EVROV KVADRATNI METER",5 in večsobno,1,1984,"265,00 ","265.000,00"
ČRNA PRI KAMNIKU,3-sobno,1,1945,"75,10 ","59.000,00"
DOBROVA,"3,5-sobno",1,1997,"124,00 ","159.900,00"
DOMŽALE,Garsonjera,P,1991,"21,00 ","61.900,00"
DOMŽALE,"1,5-sobno",3,2004,"54,00 ","235.000,00"
DOMŽALE,3-sobno,P,2007,"64,60 ","229.000,00"
DOMŽALE,3-sobno,2,1974,"75,44 ","225.000,00"
DOMŽALE,5 in večsobno,K+P+1+M,1938,"184,00 ","360.000,00"
"DOMŽALE, CENTER",Garsonjera,4,1961,"32,90 ","99.000,00"
"DOMŽALE, CENTER","1,5-sobno",P,1905,"52,90 ","119.900,00"
"DOMŽALE, PARKIRNO MESTO, TERASA",2-sobno,VP,2007,"49,00 ","174.000,00"
"DOMŽALE, PRESERJE PRI RADOMLJAH",5 in večsobno,P+M,2020,"183,00 ","249.000,00"
"DOMŽALE, ŠTUDA",5 in večsobno,P,2004,"230,00 ","459.000,00"
"LAVRICA, NASELJE OB POTOKU",4-sobno,P,2009,"91,40 ","379.000,00"
MENGEŠ,3-sobno,3,2010,"81,70 ","324.000,00"
ZGORNJE JARŠE,"4,5-sobno",P,1959,"201,60 ","295.000,00"
BLATNA BREZOVICA,3-sobno,P,1966,"117,30 ","150.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,1,2022,"75,70 ","280.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,2,2022,"75,70 ","280.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,P,2022,"75,70 ","293.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,P,2006,"129,30 ","319.000,00"
BREZJE PRI GROSUPLJEM,Apartma,1,2002,"136,00 ","129.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,P,2006,"153,30 ","279.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,P,2006,"206,30 ","310.000,00"
BREZJE PRI GROSUPLJEM,5 in večsobno,2,2007,"215,30 ","575.000,00"
"BREZOVICA PRI LJUBLJANI, 1000 EVROV KVADRATNI METER",5 in večsobno,1,1984,"265,00 ","265.000,00"
ČRNA PRI KAMNIKU,3-sobno,1,1945,"75,10 ","59.000,00"
DOBROVA,"3,5-sobno",1,1997,"124,00 ","159.900,00"
DOMŽALE,Garsonjera,P,1991,"21,00 ","61.900,00"
DOMŽALE,"1,5-sobno",3,2004,"54,00 ","235.000,00"
DOMŽALE,3-sobno,P,2007,"64,60 ","229.000,00"
DOMŽALE,3-sobno,2,1974,"75,44 ","225.000,00"
DOMŽALE,5 in večsobno,K+P+1+M,1938,"184,00 ","360.000,00"
"DOMŽALE, CENTER",Garsonjera,4,1961,"32,90 ","99.000,00"
"DOMŽALE, CENTER","1,5-sobno",P,1905,"52,90 ","119.900,00"
"DOMŽALE, PARKIRNO MESTO, TERASA",2-sobno,VP,2007,"49,00 ","174.000,00"
"DOMŽALE, PRESERJE PRI RADOMLJAH",5 in večsobno,P+M,2020,"183,00 ","249.000,00"
"DOMŽALE, ŠTUDA",5 in večsobno,P,2004,"230,00 ","459.000,00"
DRAGOMELJ,2-sobno,M,2006,"64,50 ","188.000,00"
DRAGOMELJ,"2,5-sobno",M,2003,"71,90 ","152.000,00"
DRENOV GRIČ,"3,5-sobno",1,2015,"71,00 ","145.000,00"
GORIČANE,3-sobno,P,1898,"51,00 ","147.000,00"
GROSUPLJE,2-sobno,4,1983,"58,00 ","175.000,00"
GROSUPLJE,4-sobno,P,2006,"97,90 ","295.000,00"
GROSUPLJE,3-sobno,2,1909,"105,60 ","245.000,00"
GROSUPLJE,3-sobno,2,1910,"105,60 ","264.000,00"
GROSUPLJE,"3,5-sobno",2,1909,"105,60 ","264.000,00"
GROSUPLJE,3-sobno,2,1910,"115,00 ","245.000,00"
GROSUPLJE,3-sobno,2,1909,"115,00 ","245.000,00"
GROSUPLJE,5 in večsobno,3,2006,"190,41 ","380.000,00"
"GROSUPLJE, ATRIJ",Garsonjera,P,2006,"29,40 ","139.000,00"
"GROSUPLJE, BREZJE PRI GROSUPLJEM","3,5-sobno",P,2006,"129,30 ","319.000,00"
"GROSUPLJE, SLOMSKOVA ULICA",3-sobno,1,2007,"93,00 ","294.000,00"
"GROSUPLJE, SLOMŠKOVA UL. 1",4-sobno,P,2006,"93,00 ","295.000,00"
"GROSUPLJE, SLOMŠKOVA ULICA","3,5-sobno",P,2006,"104,00 ","295.000,00"
HRAŠE,3-sobno,2,1964,"49,30 ","141.000,00"
"IG, SULČJA ULICA",4-sobno,1,2004,"102,00 ","160.000,00"
IHAN,"3,5-sobno",P,1989,"83,00 ","149.990,00"
IVANČNA GORICA,2-sobno,2,2008,"45,00 ","139.000,00 &euro;<span class=""cena-old"">143.000,00"
IVANČNA GORICA,2-sobno,2,2005,"45,80 ","146.000,00"
IVANČNA GORICA,4-sobno,4,2008,"81,00 ","220.000,00"
IVANČNA GORICA,3-sobno,P,2022,"82,60 ","229.000,00"
IVANČNA GORICA,4-sobno,M,2022,"92,40 ","225.000,00"
IVANČNA GORICA,Drugo,M,2009,"132,00 ","258.000,00"
KAMNIK,"1,5-sobno",2,2004,"34,00 ","139.000,00"
KAMNIK,"2,5-sobno",P,1960,"50,00 ","178.000,00"
KAMNIK,2-sobno,2,1998,"55,00 ","95.000,00"
KAMNIK,3-sobno,4,1969,"68,12 ","160.000,00"
KAMNIK,"2,5-sobno",2,1949,"77,20 ","154.900,00"
KAMNIK,"3,5-sobno",2,1981,"94,20 ","199.000,00"
KAMNIK,4-sobno,2,2006,"110,00 ","400.000,00"
KAMNIK,3-sobno,3,2003,"122,00 ","285.000,00"
KAMNIK POD KRIMOM,2-sobno,1,1974,"68,00 ","99.000,00"
"KAMNIK, CENTER","2,5-sobno",2,1949,"77,20 ","144.990,00"
"KAMNIK, CENTER","3,5-sobno",3,2003,"128,00 ","285.000,00"
"KOMENDA, KLANEC",3-sobno,P,1962,"65,00 ","159.000,00"
"KOMENDA, KLANEC",5 in večsobno,2,1962,"97,40 ","179.000,00"
KOŠIŠE,3-sobno,1,1947,"102,00 ","165.000,00"
LAVRICA,"2,5-sobno",1,2009,"64,00 ","269.000,00"
LITIJA,1-sobno,1,1960,"39,49 ","85.000,00"
LITIJA,2-sobno,1,1926,"65,80 ","155.000,00"
"LITIJA, SLOVENIJA","2,5-sobno",1,1968,"64,00 ","127.000,00"
"LITIJA, TRG NA STAVBAH","2,5-sobno",VP,1936,"57,80 ","129.000,00"
"LITIJA, TRG NA STAVBAH",2-sobno,1,1957,"60,70 ","99.000,00 &euro;<span class=""cena-old"">109.000,00"
LOG PRI BREZOVICI,4-sobno,2,2006,"100,00 ","219.000,00 &euro;<span class=""cena-old"">229.000,00"
LOGATEC,5 in večsobno,2,2013,"145,30 ","210.000,00"
"LOGATEC, CENTER","2,5-sobno",1,2004,"53,00 ","139.000,00"
"LOGATEC, CENTER",3-sobno,2,1975,"78,70 ","162.000,00"
"LOGATEC, CENTER",4-sobno,1,2021,"107,10 ","270.000,00"
"LOGATEC, SONČNI LOG",2-sobno,P,2005,"61,00 ","195.000,00"
MALA KOSTREVNICA,"1,5-sobno",VP,1917,"34,60 ","78.000,00"
MALA LOKA,3-sobno,1,2003,"82,10 ","219.000,00"
MEDVODE,3-sobno,VP,2019,"156,70 ","558.831,00"
MEDVODE,3-sobno,VP,2019,"164,30 ","583.648,00"
"MEDVODE, CESTA KOMANDANTA STANETA",2-sobno,1,1907,"106,00 ","169.000,00"
"MEDVODE, KLANSKA ULICA",1-sobno,1,1989,"38,10 ","130.000,00"
"MEDVODE, OKOLICA",3-sobno,1,2021,"94,70 ","199.000,00"
"MEDVODE, PRESKA",3-sobno,2,2019,"331,70 ","1.096.443,00"
MENGEŠ,Garsonjera,2,2010,"33,00 ","135.000,00"
MENGEŠ,3-sobno,5,1986,"57,10 ","180.000,00"
MENGEŠ,4-sobno,3,2010,"81,70 ","324.000,00"
MENGEŠ,2-sobno,P+1+M,1979,"108,60 ","176.000,00"
MENGEŠ,3-sobno,P,1930,"154,80 ","120.000,00 &euro;<span class=""cena-old"">140.000,00"
MENGEŠ,4-sobno,1,2018,"168,00 ","292.000,00"
NOTRANJE GORICE,3-sobno,VP,1980,"110,00 ","195.000,00"
NOTRANJE GORICE,4-sobno,1,1997,"131,14 ","235.000,00"
NOTRANJE GORICE,5 in večsobno,P,1997,"195,77 ","315.000,00"
PEČE,"2,5-sobno",2,2004,"59,30 ","120.000,00"
POLICA,4-sobno,P,2022,"119,30 ","265.000,00"
POLICA,4-sobno,P,2022,"119,30 ","265.000,00"
POLICA,4-sobno,P,2022,"119,30 ","265.000,00"
POLICA,4-sobno,P,2022,"119,30 ","265.000,00"
POLICA,4-sobno,1,2022,"123,20 ","265.000,00"
POLICA,4-sobno,1,2022,"123,20 ","265.000,00"
POLICA,4-sobno,1,2022,"124,50 ","265.000,00"
PRESERJE PRI RADOMLJAH,3-sobno,1,2012,"79,40 ","300.000,00"
"RADOMLJE, PRI KULTURNEM DOMU","1,5-sobno",P,1975,"40,00 ","160.000,00"
SMLEDNIK,"2,5-sobno",1,1954,"89,00 ","115.000,00"
SREDNJE JARŠE,"1,5-sobno",2,2004,"44,70 ","157.000,00"
"ŠENTVID PRI STIČNI, CENTER","2,5-sobno",VP,1967,"80,00 ","150.000,00"
ŠKOFLJICA,4-sobno,2,2010,"139,00 ","280.000,00"
"ŠKOFLJICA, CENTER",2-sobno,2,1885,"43,10 ","149.000,00"
ŠMARJE - SAP,4-sobno,P,1920,"81,00 ","150.000,00"
TRZIN,5 in večsobno,1,2020,"131,20 ","359.000,00"
TRZIN,4-sobno,1,2012,"201,90 ","450.000,00"
TRZIN,4-sobno,1,2012,"267,40 ","520.000,00"
TRZIN,4-sobno,P,2012,"373,81 ","650.000,00"
"TRZIN, PARKIRNO MESTO, DVIGALO, BALKON",2-sobno,4,2003,"49,00 ","259.000,00"
UTIK,4-sobno,1,2005,"140,00 ","205.000,00"
VODICE,Garsonjera,P,2004,"25,40 ","80.000,00"
